Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Izbicki, Rafael; Lee, Ann B; ",Nonparametric conditional density estimation in a high-dimensional regression setting,Journal of Computational and Graphical Statistics,25,4,1297-1316,2016,Taylor & Francis
"Izbicki, Rafael; Stern, Rafael Bassi; ",Learning with many experts: model selection and sparsity,Statistical Analysis and Data Mining: The ASA Data Science Journal,6,6,565-577,2013,Wiley Online Library
"Aprahamian, Ivan; Diniz, Breno Satler; Izbicki, Rafael; Radanovic, Márcia; Nunes, Paula Villela; Forlenza, Orestes Vicente; ",Optimizing the CAMCOG test in the screening for mild cognitive impairment and incipient dementia: saving time with relevant domains,International journal of geriatric psychiatry,26,4,403-408,2011,Wiley Online Library
"Aprahamian, Ivan; de Castro Cezar, Natália Oiring; Izbicki, Rafael; Lin, Sumika Mori; Paulo, Débora Lee Vianna; Fattori, André; Biella, Marina Maria; Jacob Filho, Wilson; Yassuda, Mônica Sanches; ",Screening for frailty with the FRAIL scale: a comparison with the phenotype criteria,Journal of the American Medical Directors Association,18,7,592-596,2017,Elsevier
"Da Silva, Gustavo Miranda; Esteves, Luis Gustavo; Fossaluza, Victor; Izbicki, Rafael; Wechsler, Sergio; ",A bayesian decision-theoretic approach to logically-consistent hypothesis testing,Entropy,17,10,6534-6559,2015,MDPI
"Cisewski, Jessi; Kadane, Joseph B; Schervish, Mark J; Seidenfeld, Teddy; Stern, Rafael; ","Bayesian Learning, Meager Sets and Countably Additive Probabilities: replies to G. Belot and A. Elga",,,,,,
"Izbicki, Rafael; Lee, Ann B; Freeman, Peter E; ",Photo-z estimation: An example of nonparametric conditional density estimation under selection bias,,,,,2017,
"Stern, Rafael B; Kadane, Joseph B; ",Compensating for the loss of a chance,arXiv preprint arXiv:1412.1501,,,,2014,
"Cecato, Juliana Francisco; Martinelli, José Eduardo; Izbicki, Rafael; Yassuda, Mônica Sanches; Aprahamian, Ivan; ","A subtest analysis of the Montreal cognitive assessment (MoCA): which subtests can best discriminate between healthy controls, mild cognitive impairment and Alzheimer's disease?",International psychogeriatrics,28,5,825-832,2016,Cambridge University Press
"Seidenfeld, Teddy; Schervish, Mark J; Kadane, Joseph B; Stern, Rafael; Cisewski, Jessi; ",Radically Elementary IP Theory Based on Extensive Measurement,ISIPTA’15,,,349,,
"Lauretto, Marcelo S; Stern, Rafael B; Morgan, Kari L; Clark, Margaret H; Stern, Julio M; ",Haphazard intentional allocation and rerandomization to improve covariate balance in experiments,AIP Conference Proceedings,1853,1,,2017,AIP Publishing
"Izbicki, Rafael; dos Santos, Tiago Mendonça; ",Machine learning sob a ótica estatística,São Paulo: UFScar/INSPER,,,,2018,
"Sandqvist, Tor; Izbicki, Rafael; Esteves, Luís Gustavo; Surinx, Dimitri; Fletcher, George HL; Gyssens, Marc; Leinders, Dirk; Van den Bussche, Jan; Van Gucht, Dirk; Vansummeren, Stijn; ",LOGIC JOURNAL of the IGPL,,,,,,
"Stern, Julio Michael; Izbicki, Rafael; Esteves, Luis Gustavo; Stern, Rafael Bassi; ",Logically-consistent hypothesis testing and the hexagon of oppositions,Logic Journal of the IGPL,25,5,741-757,2017,Oxford University Press
"Schervish, Mark J; Seidenfeld, Teddy; Stern, Rafael B; Kadane, Joseph B; ",What finite-additivity can add to decision theory,Statistical Methods & Applications,29,2,237-263,2020,Springer Berlin Heidelberg
"Aprahamian, Ivan; Martinelli, José Eduardo; Cecato, Juliana; Izbicki, Rafael; Yassuda, Mônica Sanches; ",Can the CAMCOG be a good cognitive test for patients with Alzheimer's disease with low levels of education?,International psychogeriatrics,23,1,96-101,2011,Cambridge University Press
"Stern, Rafael B; Pereira, Carlos A de B; ",Statistical information: a Bayesian perspective,Entropy,14,11,2254-2264,2012,Molecular Diversity Preservation International
"Izbicki, Rafael; ",Classes de testes de hipóteses,,,,,2010,Universidade de Sao Paulo
"Stern, Rafael B; Kadane, Joseph B; ",Pain and suffering quantified: Judge Weinstein’s concept of similarity between cases,"Law, Probability and Risk",12,1,75-87,2013,Oxford University Press
"Izbicki, Rafael; Lee, Ann; Schafer, Chad; ",High-dimensional density ratio estimation with extensions to approximate likelihood computation,Artificial intelligence and statistics,,,420-429,2014,PMLR
"Cisewski, Jessi; Kadane, Joseph B; Schervish, Mark J; Seidenfeld, Teddy; Stern, Rafael; ",The Rest of Sleeping Beauty,,,,,,
"Ceregatti, Rafael de C; Izbicki, Rafael; Salasar, Luis Ernesto B; ",A nonparametric bayesian approach for the two-sample problem,"Bayesian Inference and Maximum Entropy Methods in Science and Engineering: MaxEnt 37, Jarinu, Brazil, July 09–14, 2017 37",,,231-241,2018,Springer International Publishing
"Vaz, Afonso Fernandes; Izbicki, Rafael; Stern, Rafael Bassi; ",Quantification under prior probability shift: The ratio estimator and its extensions,Journal of Machine Learning Research,20,79,1-33,2019,
"MartinoT, Luca; Stern, Rafael B; Louzada, Francisco; ",Comments on the Article by Matthew T. Pratola,,,,,,
"Esteves, Luís G; Izbicki, Rafael; Stern, Julio M; Stern, Rafael B; ",The logical consistency of simultaneous agnostic hypothesis tests,Entropy,18,7,256,2016,MDPI
"Diniz, Marcio A; Stern, RB; SALASAR, LE; ",Positive polynomials on closed boxes,TEMA (São Carlos),20,,509-519,2019,Sociedade Brasileira de Matemática Aplicada e Computacional
"Vaz, Afonso; Izbicki, Rafael; Stern, Rafael Bassi; ",Prior shift using the ratio estimator,"Bayesian Inference and Maximum Entropy Methods in Science and Engineering: MaxEnt 37, Jarinu, Brazil, July 09–14, 2017 37",,,25-35,2018,Springer International Publishing
"Lee, Ann B; Izbicki, Rafael; ",A spectral series approach to high-dimensional nonparametric regression,,,,,2016,
"Cisewski, Jessi; Kadane, Joseph B; Schervish, Mark J; Seidenfeld, Teddy; Stern, Rafael; ",Sleeping Beauty’s credences,Philosophy of Science,83,3,324-347,2016,Cambridge University Press
"Diniz, Marcio Alves; Izbicki, Rafael; Lopes, Danilo; Salasar, Luis Ernesto; ",Comparing probabilistic predictive models applied to football,Journal of the Operational Research Society,70,5,770-782,2019,Taylor & Francis
"Izbicki, Rafael; Esteves, Luís Gustavo; ",Inferência Bayesiana para Proporções em Cenários Eleitorais,,,,,,
"Pulgrossi, Rafael Catoia; Oliveira, Natalia Lombardi; Polpo, Adriano; Izbicki, Rafael; ",A Comparison of Two Methods for Obtaining a Collective Posterior Distribution,"Bayesian Inference and Maximum Entropy Methods in Science and Engineering: MaxEnt 37, Jarinu, Brazil, July 09–14, 2017 37",,,221-230,2018,Springer International Publishing
"Wechsler, Sergio; Izbicki, Rafael; Esteves, Luís Gustavo; ",A Bayesian look at nonidentifiability: A simple example,The American Statistician,67,2,90-93,2013,Taylor & Francis
